Time,Stim Cre,Rec Cre,Stim Cre NMDA,Rec Cre NMDA,Stim KO,Rec KO,Stim KO NMDA,Rec KO NMDA
96.5,-70.86850739,-59.9800148,-69.94363403,-51.64370346,-98.35070801,-40.60996628,-115.2627487,-39.48845673
97,-70.8604126,-59.98138809,-69.95159912,-51.65962601,-98.36560059,-40.59954453,-115.2545624,-39.48845673
97.5,-70.85706329,-59.99028397,-69.93036652,-51.65166473,-98.36187744,-40.59433365,-115.2541504,-39.4798584
98,-70.85298157,-59.97758865,-69.93036652,-51.65829849,-98.36410522,-40.58465576,-115.2490234,-39.47513199
98.5,-70.84545135,-59.98025513,-69.91577148,-51.65431976,-98.37601471,-40.58689117,-115.2420883,-39.46524429
99,-70.83829498,-59.99009323,-69.905159,-51.65431976,-98.37676239,-40.58912277,-115.2395477,-39.46954346
99.5,-70.83037567,-59.99137878,-69.89852142,-51.65299225,-98.38718414,-40.58763504,-115.2330856,-39.46008682
100,-70.82209778,-59.99272156,-69.88127136,-51.64635849,-98.39239502,-40.57646942,-115.2279434,-39.47212219
100.5,-70.81270599,-59.98605347,-69.86534882,-51.63972092,-98.39983368,-40.58019257,-115.2266693,-39.46825409
101,-70.80957794,-59.98374939,-69.8520813,-51.64503098,-98.3946228,-40.57870102,-115.2231522,-39.47470093
101.5,-70.80840302,-59.97734451,-69.84942627,-51.6370697,-98.39909363,-40.57795715,-115.2292252,-39.48630905
102,-70.80457306,-59.98228073,-69.83085632,-51.64104843,-98.39909363,-40.57051468,-115.2300797,-39.48458862
102.5,-70.80111694,-59.9783287,-69.83217621,-51.66891479,-98.39388275,-40.56977081,-115.2167587,-39.48200989
103,-70.79824066,-59.98244095,-69.82421875,-51.66095352,-98.40281677,-40.5653038,-115.2206268,-39.48114777
103.5,-70.79914093,-59.98511887,-69.81493378,-51.67554855,-98.41323853,-40.56753922,-115.2081299,-39.48587799
104,-70.79787445,-59.98246002,-69.80165863,-51.68350983,-98.40058136,-40.57125854,-115.2077408,-39.47427368
104.5,-70.79318237,-59.98048782,-69.79370117,-51.69544983,-98.40132904,-40.57051468,-115.220192,-39.47556305
105,-70.79857635,-59.98337936,-69.78971863,-51.69544983,-98.41472626,-40.57721329,-115.2120209,-39.47513199
105.5,-70.79951477,-59.98509598,-69.7751236,-51.68881607,-98.41770172,-40.56753922,-115.2154541,-39.48888779
106,-70.79666138,-59.98435211,-69.76052856,-51.67156601,-98.41546631,-40.57200241,-115.2150345,-39.48587799
106.5,-70.78862,-59.9810791,-69.76185608,-51.67687607,-98.41323853,-40.57646942,-115.212883,-39.50006104
107,-70.78940582,-59.98839951,-69.75124359,-51.67687607,-98.41844177,-40.56828308,-115.2206192,-39.50221252
107.5,-70.78401184,-59.98697281,-69.74858856,-51.68350983,-98.42737579,-40.56977081,-115.2120209,-39.5013504
108,-70.78549957,-59.98991394,-69.74726105,-51.69412231,-98.43035126,-40.56604767,-115.2111816,-39.50092316
108.5,-70.78395081,-59.98587418,-69.72735596,-51.65033722,-98.42961121,-40.56381607,-115.2296371,-39.5043602
109,-70.78143311,-59.98595047,-69.72470856,-51.66493225,-98.42961121,-40.54743958,-115.2391052,-39.50994873
109.5,-70.78517914,-59.98420715,-69.70347595,-51.65829849,-98.44300842,-40.55860519,-115.2597275,-39.51639557
110,-70.77957916,-59.98138809,-69.69816589,-51.67156601,-98.44524384,-40.5563736,-115.2678986,-39.518116
110.5,-70.7774353,-59.9872818,-69.68091583,-51.67554855,-98.4526825,-40.56083679,-115.2700272,-39.51295853
111,-70.77243042,-59.98123169,-69.68755341,-51.67289352,-98.44970703,-40.55413818,-115.2691803,-39.51940536
111.5,-70.77362061,-59.98257828,-69.67295837,-51.67422104,-98.44747162,-40.54669571,-115.2777863,-39.52112198
112,-70.7713623,-59.98706436,-69.65836334,-51.67687607,-98.45417023,-40.54818344,-115.2851334,-39.51854324
112.5,-70.76535797,-59.98298645,-69.65039825,-51.66228104,-98.45715332,-40.52511215,-115.2881012,-39.52542114
113,-70.76835632,-59.98043823,-69.65836334,-51.66493225,-98.46533966,-40.52659988,-115.3061676,-39.52155304
113.5,-70.76681519,-59.97724152,-69.64509583,-51.64503098,-98.48394775,-40.53181076,-115.3164749,-39.52284241
114,-70.76117706,-59.98175812,-69.64376831,-51.62512589,-98.48617554,-40.54446411,-115.3164749,-39.5151062
114.5,-70.76631165,-59.97647858,-69.64642334,-51.62247467,-98.50180817,-40.53106689,-115.3212051,-39.51553726
